næring (SN2007),2017,2018,2019,2020,2021,pct_change_1y,pct_change_3y
Bergverksdrift og utvinning,2428.1,6084.7,6657.1,5192.1,11901.1,-22.006579441498552,113.83386186730368
Bygge- og anleggsvirksomhet,8783.5,10535.5,11403.0,10622.9,10124.4,-6.841182145049551,20.941538111231274
"Faglig, vitenskapelig og teknisk tjenesteyting",701.5,1141.8,1040.0,1286.1,1253.8,23.663461538461526,83.33570919458302
Forretningsmessig tjenesteyting,661.9,739.1,829.5,1133.8,782.3,36.68474984930681,71.29475751624112
Industri,8304.2,9568.3,10154.7,9528.4,11842.9,-6.167587422572806,14.741937814599826
Informasjon og kommunikasjon,1137.3,1472.8,1111.1,1823.3,2014.0,64.09864098640988,60.31829772267652
Overnattings- og serveringsvirksomhet,415.2,543.4,753.5,203.5,269.2,-72.99270072992701,-50.98747591522158
Transport og lagring,675.7,769.2,741.4,636.1,704.3,-14.20285945508497,-5.860589018795325
"Vann, avløp, renovasjon",267.4,244.2,198.1,175.0,238.0,-11.660777385159005,-34.55497382198952
"Varehandel, reparasjon av motorvogner",2017.7,2502.2,2649.1,2356.2,2840.0,-11.056585255369756,16.776527729593084
