næring (SN2007),2017,2018,2019,2020
Annen tjenesteyting,10930.4,11227.0,12111.2,11156.9
Bergverksdrift og utvinning,39204.9,36873.1,44276.5,51121.2
Bygge- og anleggsvirksomhet,175690.7,186370.4,196594.2,201682.5
"Elektrisitets-, gass-, damp- og varmtvannsforsyning",,,,
"Faglig, vitenskapelig og teknisk tjenesteyting",116265.1,127489.3,143311.3,143816.0
Forretningsmessig tjenesteyting,80300.0,88466.9,92573.8,88437.6
Helse- og sosialtjenester,,,,
Industri,199876.9,198803.2,208036.7,215768.4
Informasjon og kommunikasjon,108580.4,113780.9,127600.5,128681.0
"Kultur, underholdning og fritid",,,,
Omsetning og drift av fast eiendom,97819.3,96349.6,102413.6,107447.6
Overnattings- og serveringsvirksomhet,35375.4,36164.2,39335.0,27109.5
Transport og lagring,136011.3,122519.9,133274.6,108181.5
Undervisning,,,,
"Vann, avløp, renovasjon",8539.9,7979.6,8510.9,9408.7
"Varehandel, reparasjon av motorvogner",222366.4,228561.6,237632.9,265117.2
