næring (SN2007),2017,2018,2019,2020,2021,pct_change_1y,pct_change_3y
Annen tjenesteyting,15221.0,14024.0,14396.0,13155.0,16598.0,-8.62045012503473,-13.573352604953682
Bergverksdrift og utvinning,30222.0,32178.0,33857.0,37698.0,36637.0,11.34477360663968,24.736946595195562
Bygge- og anleggsvirksomhet,192711.0,194252.0,198845.0,216359.0,220220.0,8.807865422816775,12.271224787375923
"Faglig, vitenskapelig og teknisk tjenesteyting",98845.0,104685.0,107960.0,108593.0,115289.0,0.5863282697295302,9.861905002782123
Forretningsmessig tjenesteyting,99718.0,106654.0,109863.0,98464.0,100138.0,-10.375649672774278,-1.257546280511046
Industri,203658.0,197596.0,206075.0,201389.0,198604.0,-2.2739293946378747,-1.114122695892128
Informasjon og kommunikasjon,78415.0,81711.0,87143.0,87617.0,91659.0,0.5439335345351903,11.734999681183456
Omsetning og drift av fast eiendom,15724.0,15294.0,19846.0,21320.0,20066.0,7.42718935805704,35.58890867463749
Overnattings- og serveringsvirksomhet,71243.0,60938.0,72433.0,67140.0,66659.0,-7.307442740187486,-5.759162303664922
Transport og lagring,111481.0,108427.0,111611.0,109916.0,110238.0,-1.5186675148506912,-1.403826661045382
"Vann, avløp, renovasjon",8705.0,8281.0,8895.0,8882.0,9120.0,-0.14614952220348698,2.0333141872487026
"Varehandel, reparasjon av motorvogner",261130.0,258759.0,262298.0,269736.0,276532.0,2.8357059527712725,3.2956764829778162
