næring (SN2007),2016,2017,2018,2019,2020,2021
Annen tjenesteyting,13404.0,13300.0,13500.0,14607.0,15165.0,13587.0
Bergverksdrift og utvinning,1053.0,1050.0,1060.0,1116.0,1140.0,1082.0
Bygge- og anleggsvirksomhet,57377.0,57964.0,58513.0,57456.0,58093.0,57861.0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning",,,,,,443.0
"Faglig, vitenskapelig og teknisk tjenesteyting",47298.0,47134.0,48096.0,50394.0,51472.0,47561.0
Forretningsmessig tjenesteyting,19725.0,19549.0,19918.0,20677.0,20977.0,19475.0
Helse- og sosialtjenester,,,,,,21422.0
Industri,17143.0,17001.0,17038.0,17027.0,17058.0,16345.0
Informasjon og kommunikasjon,16666.0,16526.0,16946.0,18169.0,18901.0,17275.0
"Kultur, underholdning og fritid",,,,,,12642.0
Omsetning og drift av fast eiendom,51238.0,52298.0,49457.0,51618.0,53167.0,52767.0
Overnattings- og serveringsvirksomhet,11806.0,11864.0,12135.0,12450.0,12473.0,12544.0
Transport og lagring,20829.0,20590.0,20490.0,20256.0,20165.0,20557.0
Undervisning,,,,,,7264.0
"Vann, avløp, renovasjon",1209.0,1180.0,1262.0,1294.0,1330.0,1251.0
"Varehandel, reparasjon av motorvogner",50239.0,49343.0,49101.0,48445.0,48038.0,46944.0
